Year,LocationAbbr,LocationDesc,DataSource,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,CategoryID,IndicatorID,Geolocation,LocationID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
2018,US,"United States, DC & Territories",BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,5.4,5.4,,,5.2,5.6,"13,781","7,383,517",Disability Type,Vision Disability,,,DISEST,SEXIND,,59,SEX02,AGEADJPREV,DISTYPE,VISDIS,,
2018,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,9.3,9.3,,,7.3,11.7,114,"7,553",Disability Type,Vision Disability,,,DISEST,VETIND,,66,VET2,AGEADJPREV,DISTYPE,VISDIS,,
2018,HHS10,HHS Region 10,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,3.1,3.1,,,2.8,3.4,755,"299,053",Disability Type,Self-care Disability,,,DISEST,VETIND,,89,VET2,AGEADJPREV,DISTYPE,SELFDIS,,
2018,WA,Washington,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,9.3,9.3,,,8.7,10.0,"1,481","456,427",Disability Type,Mobility Disability,,,DISEST,RACEIND,"(47.52227862900048, -120.47001078999972)",53,RACE01,AGEADJPREV,DISTYPE,MOBDIS,,
2018,KY,Kentucky,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,22.1,22.1,,,12.3,36.5,53,"10,634",Disability Type,Mobility Disability,,,DISEST,RACEIND,"(37.645970271000465, -84.77497104799966)",21,RACE04,AGEADJPREV,DISTYPE,MOBDIS,,
2018,NE,Nebraska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,6.1,6.1,,,5.1,7.2,306,"18,176",Disability Type,Vision Disability,,,DISEST,AGEIND,"(41.6410409880005, -99.36572062299967)",31,AGE03,PREV,DISTYPE,VISDIS,,
2018,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Type,Vision Disability,,,DISEST,RACEIND,"(64.84507995700051, -147.72205903599973)",02,RACE06,AGEADJPREV,DISTYPE,VISDIS,,
2018,UT,Utah,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,75.7,75.7,,,74.2,77.1,"3,823","827,050",Disability Status,No Disability,,,DISEST,SEXIND,"(39.360700171000474, -111.58713063499971)",49,SEX02,AGEADJPREV,DISSTAT,NODIS,,
2018,HHS9,HHS Region 9,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,6.2,6.2,,,4.5,8.6,130,"63,995",Disability Type,Vision Disability,,,DISEST,RACEIND,,88,RACE04,AGEADJPREV,DISTYPE,VISDIS,,
2018,HHS6,HHS Region 6,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,6.9,6.9,,,6.3,7.5,"2,517","1,332,355",Disability Type,Hearing Disability,,,DISEST,RACEIND,,85,RACE01,AGEADJPREV,DISTYPE,HEARDIS,,
